Time, X, Y, Z
13.36761,-0.1395365,0.9003689,0.08653546
15.82758,-0.2062775,0.8925785,0.13887
17.70758,-0.1882136,0.9187309,0.2026802
20.08759,-0.1919874,0.8946272,0.153731
22.52759,-0.2070998,0.8945757,0.1334911
24.74762,-0.1729018,0.892578,0.1095607
26.62762,-0.1553771,0.9095855,0.1426499
29.04761,-0.09108105,0.9099002,0.05594183
34.00757,-0.2034866,0.893656,0.1514186
37.6676,-0.1909897,0.9167145,0.126908
42.42761,-0.1651024,0.8931566,0.1921919
53.92761,-0.2063609,0.9015595,0.1778703
57.20758,-0.1911325,0.8998083,0.12569
59.80762,-0.1879609,0.8933254,0.1637994
63.8476,-0.1936249,0.8971856,0.1419376
65.70758,-0.1778928,0.9207551,0.1571512
74.1676,-0.2384676,0.8962029,0.1512692
76.3476,-0.1995116,0.9103483,0.1560193
79.04761,-0.1878921,0.918662,0.194413
81.48761,-0.1437711,0.9178441,0.1616374
84.1676,-0.2004719,0.8977255,0.1120701
87.38757,-0.1740075,0.8902681,0.1513146
89.92761,-0.209314,0.9023088,0.1308532
92.06757,-0.09313047,0.9116316,0.08071797
95.3476,-0.1827186,0.9101382,0.1701128
97.44757,-0.2318981,0.915978,0.1285613
99.90759,-0.174482,0.9179469,0.1553583
101.8876,-0.1728085,0.9258502,0.1270626
103.9876,-0.2422577,0.9410225,0.1128098
106.0476,-0.1675654,0.8966877,0.1431249
108.4676,-0.1908756,0.8973544,0.1608705
111.1276,-0.1641352,0.9011141,0.159575
114.1876,-0.1936309,0.9073481,0.15518
116.4476,-0.165808,0.9007489,0.1703375
118.9276,-0.1696177,0.9018005,0.1408617
126.4199,-0.132116,0.9139127,0.1262513
139.7676,-0.2355671,0.8946674,0.1255171
142.1076,-0.1675562,0.905892,0.1680871
144.7476,-0.1914418,0.9225571,0.1928935
147.0076,-0.1687907,0.9147823,0.1619669
149.0276,-0.1647437,0.9144883,0.1703169
151.5876,-0.1787073,0.8819751,0.09439982
153.3476,-0.1713689,0.9410273,0.1562724
155.9076,-0.2106497,0.8795426,0.1350248
158.2276,-0.2011663,0.8967763,0.164625
160.7076,-0.2398766,0.8920376,0.1482826
184.0276,-0.170975,0.9002482,0.145615
187.4076,-0.2061782,0.8682782,0.1463789
189.4076,-0.1453124,0.9178932,0.1525258
191.4476,-0.2003778,0.9980959,0.1758268
193.6276,-0.1596055,0.9409627,0.1492926
194.1076,-0.2572793,0.9152259,0.139468
195.8076,-0.140765,0.933222,0.1503025
197.8276,-0.1693647,0.9172026,0.1492462
210.9876,-0.1677958,0.9152521,0.1180877
213.4876,-0.1549335,0.8694232,0.1715866
215.5076,-0.2186903,0.8903425,0.1438199
217.8676,-0.22881,0.8875169,0.1358656
219.9876,-0.201341,0.8840705,0.1546581
222.1876,-0.1761106,0.8748647,0.1390194
224.2676,-0.2243568,0.8506358,0.2007353
